fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4851,1386,0.0797533080470735,0.1307968691430197,"(4, 20)",0.0761866222933547,0.1870344848362403,0.07951799481264245,0.13465491566077015,"(4, 20)",0.07684294068524015,0.17881107150941644,-0.00023531323443105878,0.0038580465177504575
2,2011-2012,6073,1548,0.09489213417112938,0.006626785066243923,"(6, 5)",0.09012106708280794,0.10617831959014279,0.09499557254233072,0.0066594845062341035,"(6, 5)",0.0898393976251149,0.11593006804143358,0.0001034383712013448,3.2699439990180323e-05
3,2013-2014,7613,1740,0.06564440604059416,-0.0792904372738612,"(4, 5)",0.0679652761691611,-0.15024546124763272,0.06556726410921322,-0.07633731604325678,"(4, 5)",0.06780789332226989,-0.14321568767350135,-7.71419313809335e-05,0.0029531212306044274
4,2015-2016,9273,1594,0.07641684649568346,0.0845970968251003,"(4, 20)",0.07776636459750678,0.06472822332769934,0.07636708572651849,0.08531980915384363,"(4, 20)",0.07775341886438236,0.06410726466420869,-4.9760769164977625e-05,0.0007227123287433246
5,2017-2018,10919,1541,0.08176527807150634,0.11701688387331921,"(4, 20)",0.08300522484269188,0.06542247460593864,0.08162581027364367,0.11975803825623099,"(6, 5)",0.08271719235274631,0.06836721570197535,-0.00013946779786266905,0.0027411543829117813
6,2019-2020,12430,1624,0.12302551303076255,-0.049437680001320095,"(4, 20)",0.12384282845814387,-0.06865769066442895,0.12364501992072235,-0.05329124955812592,"(6, 20)",0.12337479314376035,-0.06611813440445347,0.0006195068899598061,-0.003853569556805825
7,2021-2022,13981,1838,0.09324000498632436,0.10211413075741416,"(6, 5)",0.09304816374647469,0.09253868754805983,0.09325432041235031,0.10479390573117975,"(6, 5)",0.09320467901445861,0.0939042424375236,1.4315426025951483e-05,0.002679774973765592
8,2023-2024,15963,1940,0.08269917743066069,0.13438572172408936,"(4, 5)",0.08307614020977412,0.12276537094615336,0.08277304008072636,0.13340578665992453,"(4, 5)",0.0828527404730023,0.1221146455837887,7.386265006567583e-05,-0.0009799350641648275
