fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4742,1386,0.09977856405328306,-0.5046730268204944,"(8, 5)",0.07598083415830782,0.18462354106247325,0.09194653313704937,-0.29774335912611605,"(4, 20)",0.07612099535938574,0.18305342476107178,-0.00783203091623369,0.20692966769437837
2,2011-2012,5964,1546,0.10029988895134731,-0.1488412107192072,"(8, 5)",0.08981087819043211,0.10653821211382164,0.09981702190053371,-0.12641198733178927,"(8, 5)",0.08990226860548572,0.10433108675698821,-0.00048286705081360126,0.02242922338741793
3,2013-2014,7504,1733,0.06938437440373095,-0.2519751631127949,"(4, 20)",0.06759875832664533,-0.14463342810333168,0.06944012919452375,-0.2629032071904003,"(4, 20)",0.06759886245302375,-0.14463905157536927,5.575479079279744e-05,-0.010928044077605392
4,2015-2016,9158,1594,0.0791857923961037,-0.002850450379451974,"(4, 20)",0.07765188093062159,0.06412941582807397,0.07960752161673938,-0.009693047128667587,"(4, 20)",0.07765203069781938,0.06410588186827859,0.00042172922063568596,-0.0068425967492156126
5,2017-2018,10801,1540,0.08617627275493922,0.007058630570706104,"(4, 5)",0.0829728556035032,0.06231221626747885,0.08557021992419267,0.017844743048819223,"(4, 20)",0.08297245127275776,0.062322327765450325,-0.0006060528307465507,0.010786112478113119
6,2019-2020,12311,1622,0.1266627777650215,-0.11120146852032375,"(4, 20)",0.12381562032732203,-0.0685495301862189,0.12570876782342855,-0.09854123175906038,"(4, 20)",0.1238109590782258,-0.06839190842478438,-0.0009540099415929482,0.012660236761263377
7,2021-2022,13862,1834,0.09717161423790183,0.013280473193399311,"(4, 20)",0.09242961304724204,0.08442875843754283,0.09764594932248229,0.007416693351302905,"(4, 20)",0.09243504542253149,0.08420516346118478,0.00047433508458046003,-0.005863779842096406
8,2023-2024,15839,1939,0.08521798046297561,0.08481734407210018,"(4, 5)",0.08298921956017115,0.12349254289766065,0.08481156794958823,0.0898168490924599,"(4, 5)",0.08298561142837942,0.12355759597972071,-0.00040641251338738305,0.004999505020359729
