fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4742,1386,0.08639332631544462,-0.08614620975980025,"(4, 5)",0.09034370281582388,-0.06853481705627917,0.08398393694492388,0.0030479166091497145,"(4, 20)",0.09047290868377487,-0.07560085069292177,-0.002409389370520737,0.08919412636894997
2,2011-2012,5964,1546,0.09696096652396499,-0.03242699424305151,"(4, 20)",0.09299032361709338,0.11513877051794741,0.09696887073666823,-0.03294169564523708,"(4, 20)",0.09309615277668563,0.11141029119162305,7.904212703233049e-06,-0.0005147014021855689
3,2013-2014,7504,1733,0.06828015991300386,-0.1800434554871162,"(4, 20)",0.07234801301696347,-0.2502515502769098,0.0683790668592517,-0.18744244547407773,"(4, 20)",0.0723618557600507,-0.2510933796177006,9.89069462478398e-05,-0.007398989986961535
4,2015-2016,9158,1594,0.07876389414328813,0.021866600081347887,"(4, 5)",0.0798748477339362,0.057780546784269915,0.07882566218787998,0.00790834320808076,"(4, 5)",0.07987427597790356,0.05730070546448962,6.176804459184781e-05,-0.013958256873267127
5,2017-2018,10801,1540,0.08469384799508008,0.06032242463268356,"(4, 5)",0.08463950257557051,0.06331175524007304,0.08478051669964196,0.04933111891689346,"(4, 5)",0.08464889921035115,0.06304754881456831,8.666870456187914e-05,-0.0109913057157901
6,2019-2020,12311,1622,0.12822776185429638,-0.1107191619586052,"(4, 5)",0.12562851818478807,-0.06375212335430502,0.12788149443268332,-0.10405816317025374,"(4, 5)",0.1256294693315134,-0.06370218496938307,-0.00034626742161306123,0.006660998788351469
7,2021-2022,13862,1834,0.10420963147982931,-0.07213840268997096,"(4, 5)",0.09474774264519703,0.08877713961191813,0.10331279738926924,-0.04175223820175766,"(4, 20)",0.09475140721541328,0.08870776952833348,-0.0008968340905600725,0.030386164488213296
8,2023-2024,15839,1939,0.08678975064252505,0.08335152740205409,"(4, 5)",0.08485553561604417,0.10730425338659055,0.08649383716478198,0.08405734529084152,"(4, 20)",0.084854568321616,0.10732516768354838,-0.0002959134777430622,0.00070581788878743
