fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4851,1386,0.08395871679036825,0.011808398541833465,"(4, 20)",0.09035732555118305,-0.06462218699039401,0.08550188780357582,-0.04729453755376456,"(4, 5)",0.09037278428033454,-0.06474096457536826,0.0015431710132075699,-0.059102936095598024
2,2011-2012,6073,1548,0.09712552000143938,-0.030114188311306078,"(4, 20)",0.09319526835965918,0.11420154961324591,0.09700841406790038,-0.027236118261317888,"(4, 20)",0.09322619035620061,0.11335591594736227,-0.00011710593353900234,0.0028780700499881906
3,2013-2014,7613,1740,0.06831754061536575,-0.20074357158833345,"(4, 5)",0.0725751987245601,-0.25517686244613813,0.06812079311771567,-0.18147072678462717,"(4, 20)",0.07257678607693861,-0.2552677935619083,-0.00019674749765008492,0.01927284480370628
4,2015-2016,9273,1594,0.07895147817782476,0.024342021609632725,"(4, 20)",0.07995406170344123,0.058462462550764704,0.07886419477149867,0.027017448723252735,"(4, 20)",0.0799467557508328,0.058572156723958324,-8.728340632609133e-05,0.0026754271136200103
5,2017-2018,10919,1541,0.0849915054192604,0.05680198367700695,"(4, 5)",0.08467135722738965,0.06551716316028089,0.08477906947535273,0.056074957480574894,"(4, 5)",0.08466716678003094,0.06561464003758932,-0.00021243594390767118,-0.0007270261964320568
6,2019-2020,12430,1624,0.12888365761818113,-0.1133944154020432,"(4, 5)",0.12557869208311165,-0.06287568432739876,0.12768311423298578,-0.0961892073966597,"(4, 5)",0.12557983490226202,-0.06278087838681379,-0.0012005433851953462,0.0172052080053835
7,2021-2022,13981,1838,0.10442085440456703,-0.0506530750523535,"(4, 20)",0.09531472841722158,0.09700888124932294,0.10485983274306032,-0.04910803629868998,"(4, 20)",0.0953158317965997,0.09701909314131818,0.0004389783384932955,0.001545038753663519
8,2023-2024,15963,1940,0.08629026953272868,0.0850710412095046,"(4, 20)",0.08494842716908713,0.10636947445428357,0.08654471397386532,0.07893916013233815,"(4, 20)",0.08494032790190703,0.10646215668766668,0.00025444444113663367,-0.006131881077166446
