fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4851,1386,0.08641503862120267,0.007550974357549811,"(4, 20)",0.09035732555118305,-0.06462218699039401,0.08647702517820109,0.0074621314672830286,"(4, 20)",0.09037278428033454,-0.06474096457536826,6.19865569984196e-05,-8.88428902667826e-05
2,2011-2012,6073,1548,0.09562114232707347,0.008755040644653045,"(8, 5)",0.09319526835965918,0.11420154961324591,0.09584335803217484,0.0048846861111973006,"(8, 20)",0.09322619035620061,0.11335591594736227,0.00022221570510136401,-0.0038703545334557443
3,2013-2014,7613,1740,0.0659370593660648,-0.09747412807764122,"(8, 20)",0.0725751987245601,-0.25517686244613813,0.06577258851420666,-0.09034901535708251,"(8, 20)",0.07257678607693861,-0.2552677935619083,-0.00016447085185813948,0.007125112720558713
4,2015-2016,9273,1594,0.0775638121903558,0.06769875015204241,"(6, 20)",0.07995406170344123,0.058462462550764704,0.077646576615459,0.06519319874000773,"(6, 20)",0.0799467557508328,0.058572156723958324,8.27644251032017e-05,-0.002505551412034679
5,2017-2018,10919,1541,0.08404415122809689,0.08674688846406475,"(6, 20)",0.08467135722738965,0.06551716316028089,0.08406383769851257,0.08602372797685875,"(6, 20)",0.08466716678003094,0.06561464003758932,1.96864704156835e-05,-0.0007231604872059982
6,2019-2020,12430,1624,0.12488245329584612,-0.06889717980139731,"(6, 20)",0.12557869208311165,-0.06287568432739876,0.1247794473000389,-0.06824211247881307,"(6, 20)",0.12557983490226202,-0.06278087838681379,-0.0001030059958072177,0.0006550673225842463
7,2021-2022,13981,1838,0.10007728563097158,0.024499176117342647,"(6, 5)",0.09531472841722158,0.09700888124932294,0.09985085363329929,0.028313476727949483,"(6, 5)",0.0953158317965997,0.09701909314131818,-0.00022643199767229116,0.0038143006106068356
8,2023-2024,15963,1940,0.08471381491783013,0.1081893310208204,"(4, 5)",0.08494842716908713,0.10636947445428357,0.08471520177932723,0.10841835891778662,"(4, 5)",0.08494032790190703,0.10646215668766668,1.3868614971018767e-06,0.00022902789696621628
