fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4851,1386,0.07975330804707349,0.13079686914301958,"(4, 20)",0.0761866222933547,0.1870344848362403,0.07941541211949651,0.13791193261344814,"(4, 20)",0.07618934362699233,0.187158671484159,-0.0003378959275769783,0.007115063470428562
2,2011-2012,6073,1548,0.09489213417112938,0.006626785066243923,"(6, 5)",0.09012106708280794,0.10617831959014279,0.0947926810305592,0.006662865969856768,"(6, 5)",0.09012505254185749,0.1060291176818775,-9.945314057017984e-05,3.6080903612845105e-05
3,2013-2014,7613,1740,0.06564440604059416,-0.0792904372738612,"(4, 5)",0.0679652761691611,-0.15024546124763272,0.06556494167413997,-0.07716529141595108,"(4, 5)",0.06795549280532007,-0.14975337238009567,-7.946436645418775e-05,0.0021251458579101268
4,2015-2016,9273,1594,0.07641684649568349,0.0845970968251002,"(4, 20)",0.07776636459750678,0.06472822332769934,0.07648497042794054,0.08263796531542289,"(4, 20)",0.0777699642890663,0.06470797915058302,6.81239322570526e-05,-0.001959131509677303
5,2017-2018,10919,1541,0.08176527807150635,0.11701688387331921,"(4, 20)",0.08300522484269188,0.06542247460593864,0.08192127359623605,0.11509696251721413,"(6, 5)",0.08299195025872508,0.0656929878785747,0.00015599552472969624,-0.001919921356105081
6,2019-2020,12430,1624,0.12302551303076255,-0.049437680001320095,"(4, 20)",0.12384282845814387,-0.06865769066442895,0.12296033987003208,-0.04889022778101193,"(4, 20)",0.12383814965053312,-0.06846062801381647,-6.51731607304723e-05,0.0005474522203081644
7,2021-2022,13981,1838,0.09324000498632436,0.10211413075741416,"(6, 5)",0.09304816374647469,0.09253868754805983,0.09313035583424016,0.10371837560698893,"(6, 5)",0.09304578302156762,0.09247264237114383,-0.00010964915208419579,0.0016042448495747763
8,2023-2024,15963,1940,0.08269917743066069,0.13438572172408936,"(4, 5)",0.08307614020977412,0.12276537094615336,0.08271939608086061,0.13393404731164527,"(4, 5)",0.08306283112336892,0.12292575847289489,2.0218650199924082e-05,-0.0004516744124440919
