fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4742,1386,0.08670431577719934,-0.0021520152433558426,"(4, 20)",0.09034370281582388,-0.06853481705627917,0.08666767563313164,-0.00048296619220056236,"(4, 20)",0.09047290868377487,-0.07560085069292177,-3.664014406769278e-05,0.0016690490511552802
2,2011-2012,5964,1546,0.09555209379517018,0.007359004158262739,"(8, 5)",0.09299032361709338,0.11513877051794741,0.09558864958526171,0.008666974476551403,"(8, 20)",0.09309615277668563,0.11141029119162305,3.655579009152754e-05,0.0013079703182886648
3,2013-2014,7504,1733,0.06621956958918646,-0.1022071390307262,"(8, 20)",0.07234801301696347,-0.2502515502769098,0.06599886577062024,-0.09675468906111773,"(8, 20)",0.0723618557600507,-0.2510933796177006,-0.00022070381856621746,0.005452449969608475
4,2015-2016,9158,1594,0.07785153178576489,0.05946149869488149,"(6, 5)",0.0798748477339362,0.057780546784269915,0.07778944126841619,0.05918924189068975,"(6, 5)",0.07987427597790356,0.05730070546448962,-6.209051734869242e-05,-0.0002722568041917395
5,2017-2018,10801,1540,0.08399229220755215,0.08606016900083457,"(6, 20)",0.08463950257557051,0.06331175524007304,0.08403459169442935,0.08503584187108515,"(6, 20)",0.08464889921035115,0.06304754881456831,4.2299486877200865e-05,-0.001024327129749425
6,2019-2020,12311,1622,0.12465080062248717,-0.06791177503025758,"(6, 20)",0.12562851818478807,-0.06375212335430502,0.12450220847426403,-0.06702896059126329,"(6, 20)",0.1256294693315134,-0.06370218496938307,-0.00014859214822313116,0.0008828144389942949
7,2021-2022,13862,1834,0.10167040959208729,-0.019885971337803454,"(8, 5)",0.09474774264519703,0.08877713961191813,0.10149947379760248,-0.018329083546755776,"(8, 5)",0.09475140721541328,0.08870776952833348,-0.00017093579448480833,0.0015568877910476786
8,2023-2024,15839,1939,0.08455743594812906,0.10939758482615192,"(4, 20)",0.08485553561604417,0.10730425338659055,0.08455741125322104,0.10945492582783589,"(4, 20)",0.084854568321616,0.10732516768354838,-2.4694908021261064e-08,5.7341001683974824e-05
