config,MAE OLS base,MAE OLS PE,MAE base,MAE con PE,dMAE,dMAE CI lo,dMAE CI hi,R2 base,R2 con PE,folds mejora
"GB, W=140",0.08693840571623182,0.08693389479327633,0.09197884761089768,0.09201917025838499,4.032264748730918e-05,-0.000513357748827056,0.0005667050523897205,-0.019632535783496774,-0.02417976199530525,7/8
"GB, W=180",0.08671532068102432,0.0867403893318996,0.09257472201191308,0.0915718664197294,-0.001002855592183674,-0.0018366752228533769,-0.00029279894458412217,-0.037985079982728154,-0.01697066900197508,5/8
"RF, W=140",0.08693840571623182,0.08693389479327633,0.0871293685962759,0.08707791762841596,-5.145096785993952e-05,-0.00014435398722963192,3.935213555145074e-05,0.09240678465071184,0.09302546218892804,5/8
"RF, W=180",0.08671532068102432,0.0867403893318996,0.08708284191085341,0.08732435779924669,0.00024151588839327331,-6.610598586917481e-06,0.0006101907491246706,0.09068667924916018,0.0874247186234064,3/8
"RF, WPE W=140",0.08693840571623182,0.08684980405656227,0.0871293685962759,0.0871733620438573,4.3993447581394673e-05,-9.01665943030601e-05,0.00019560245329006617,0.09240678465071184,0.0926490836779954,4/8
"RF, WPE W=180",0.08671532068102432,0.08668153900002892,0.08708284191085341,0.08711496220491624,3.212029406282624e-05,-7.431115780017448e-05,0.0001614704989745988,0.09068667924916007,0.09066883788099833,6/8
