fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4742,1386,0.07974676831542882,0.12229335597785596,"(4, 20)",0.07598083415830782,0.18462354106247325,0.08135404192282669,0.09405748437914863,"(4, 5)",0.07612099535938574,0.18305342476107178,0.0016072736073978744,-0.02823587159870733
2,2011-2012,5964,1546,0.09509951887342658,0.01101037349738554,"(4, 5)",0.08981087819043211,0.10653821211382164,0.0950375939831687,0.012871213697992712,"(4, 5)",0.08990226860548572,0.10433108675698821,-6.192489025787229e-05,0.0018608402006071723
3,2013-2014,7504,1733,0.0654895622657942,-0.0745440419056238,"(4, 5)",0.06759875832664533,-0.14463342810333168,0.06549407829281492,-0.07503598258181698,"(4, 5)",0.06759886245302375,-0.14463905157536927,4.516027020728952e-06,-0.000491940676193181
4,2015-2016,9158,1594,0.0764827390144956,0.08603444899511048,"(4, 20)",0.07765188093062159,0.06412941582807397,0.07649146316837385,0.08603126272813588,"(4, 20)",0.07765203069781938,0.06410588186827859,8.724153878258978e-06,-3.1862669745974515e-06
5,2017-2018,10801,1540,0.08183135855854465,0.11538211559921951,"(4, 20)",0.0829728556035032,0.06231221626747885,0.0818623708003048,0.11486871852155711,"(4, 20)",0.08297245127275776,0.062322327765450325,3.1012241760150494e-05,-0.0005133970776624031
6,2019-2020,12311,1622,0.12276895993350365,-0.0497745870317039,"(4, 20)",0.12381562032732203,-0.0685495301862189,0.12349899903683756,-0.055258729876600965,"(6, 20)",0.1238109590782258,-0.06839190842478438,0.0007300391033339126,-0.005484142844897066
7,2021-2022,13862,1834,0.09294008240003425,0.09257204442810574,"(6, 5)",0.09242961304724204,0.08442875843754283,0.09284832424739373,0.09228948644392099,"(6, 5)",0.09243504542253149,0.08420516346118478,-9.175815264052256e-05,-0.0002825579841847503
8,2023-2024,15839,1939,0.08272696513594958,0.13548625739323983,"(4, 5)",0.08298921956017115,0.12349254289766065,0.08271112443964306,0.13592602929881414,"(4, 5)",0.08298561142837942,0.12355759597972071,-1.58406963065294e-05,0.00043977190557431545
