fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4851,1386,0.09259467151471538,-0.30535968771548005,"(4, 20)",0.0761866222933547,0.1870344848362403,0.09685600702924228,-0.39473075465704865,"(6, 5)",0.07618934362699233,0.187158671484159,0.004261335514526898,-0.0893710669415686
2,2011-2012,6073,1548,0.09965131217192492,-0.1271916418014134,"(6, 20)",0.09012106708280794,0.10617831959014279,0.09899282555261255,-0.14997475424482443,"(8, 5)",0.09012505254185749,0.1060291176818775,-0.000658486619312379,-0.022783112443411024
3,2013-2014,7613,1740,0.06963675092481998,-0.2562386796758682,"(4, 20)",0.0679652761691611,-0.15024546124763272,0.068750503967416,-0.22517148887107985,"(4, 20)",0.06795549280532007,-0.14975337238009567,-0.0008862469574039827,0.03106719080478837
4,2015-2016,9273,1594,0.07964695695097189,0.006259890964067427,"(4, 20)",0.07776636459750678,0.06472822332769934,0.0794652582030594,0.009627545390069603,"(4, 20)",0.0777699642890663,0.06470797915058302,-0.00018169874791248986,0.0033676544260021757
5,2017-2018,10919,1541,0.0851064872004033,0.029995725556633435,"(4, 5)",0.08300522484269188,0.06542247460593864,0.08468776413748595,0.011226915821278993,"(4, 5)",0.08299195025872508,0.0656929878785747,-0.00041872306291734773,-0.01876880973535444
6,2019-2020,12430,1624,0.12721950521089384,-0.11619107823576313,"(4, 20)",0.12384282845814387,-0.06865769066442895,0.12670444211454948,-0.0955134174622716,"(4, 20)",0.12383814965053312,-0.06846062801381647,-0.0005150630963443592,0.020677660773491535
7,2021-2022,13981,1838,0.0981963118815399,0.015040065550252835,"(4, 20)",0.09304816374647469,0.09253868754805983,0.09766638567487938,0.025264424876159097,"(4, 20)",0.09304578302156762,0.09247264237114383,-0.000529926206660522,0.010224359325906263
8,2023-2024,15963,1940,0.08565593781464675,0.06878203471912203,"(4, 5)",0.08307614020977412,0.12276537094615336,0.0856215281990965,0.057830829443657916,"(4, 5)",0.08306283112336892,0.12292575847289489,-3.4409615550248795e-05,-0.010951205275464115
