fold,test_years,n_train,n_test,mae_baseline,r2_baseline,params_baseline,mae_ols_baseline,r2_ols_baseline,mae_conpe,r2_conpe,params_conpe,mae_ols_conpe,r2_ols_conpe,delta_mae,delta_r2
1,2009-2010,4742,1386,0.07974676831542883,0.12229335597785584,"(4, 20)",0.07598083415830782,0.18462354106247325,0.07967280740565495,0.12499902929190099,"(4, 20)",0.07669106071909305,0.1736844992982841,-7.396090977387915e-05,0.0027056733140451428
2,2011-2012,5964,1546,0.09509951887342659,0.01101037349738554,"(4, 5)",0.08981087819043211,0.10653821211382164,0.0950607212476393,0.013332012527834114,"(4, 5)",0.08935459503512418,0.1173710526601407,-3.879762578729018e-05,0.0023216390304485746
3,2013-2014,7504,1733,0.0654895622657942,-0.07454404190562358,"(4, 5)",0.06759875832664533,-0.14463342810333168,0.06553461652018902,-0.07739754745024308,"(4, 5)",0.06790852030718401,-0.1487412362604985,4.505425439482735e-05,-0.0028535055446194946
4,2015-2016,9158,1594,0.0764827390144956,0.08603444899511026,"(4, 20)",0.07765188093062159,0.06412941582807397,0.07642309830162282,0.08657920057608204,"(4, 20)",0.07778803337707785,0.059734204947115344,-5.964071287277439e-05,0.0005447515809717807
5,2017-2018,10801,1540,0.08183135855854465,0.11538211559921951,"(4, 20)",0.0829728556035032,0.06231221626747885,0.08175106837778791,0.1170603081615138,"(4, 20)",0.08260799568466315,0.06619632182156587,-8.029018075673966e-05,0.0016781925622942895
6,2019-2020,12311,1622,0.12276895993350365,-0.0497745870317039,"(4, 20)",0.12381562032732203,-0.0685495301862189,0.12327745945688896,-0.05227572831564209,"(6, 20)",0.1230838430196745,-0.06400058140691844,0.0005084995233853168,-0.002501141283938191
7,2021-2022,13862,1834,0.09294008240003425,0.09257204442810563,"(6, 5)",0.09242961304724204,0.08442875843754283,0.09290369093907891,0.0924393660444418,"(6, 5)",0.09263292741302186,0.08382631450549005,-3.639146095534007e-05,-0.00013267838366382012
8,2023-2024,15839,1939,0.08272696513594958,0.13548625739323983,"(4, 5)",0.08298921956017115,0.12349254289766065,0.08271091406558258,0.1356078795607749,"(4, 5)",0.08293632025901457,0.12288838089692211,-1.6051070367006925e-05,0.00012162216753508481
