Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1954-05-27,0.9910398469625866,0.9909739742018684,0.9768076700548892,0.979700160859388
1954-05-28,0.9910398469625868,0.9909017546746732,0.9768076700548892,0.9800940692186739
1954-06-01,0.9908014794025553,0.9909889986342567,0.976807670054889,0.9801754126433605
1954-06-02,0.9899247085636366,0.9907734890716537,0.9768076700548892,0.9801194273233893
1954-06-03,0.9910398469625866,0.9906862451120703,0.975479464799796,0.9794278767221928
1954-06-04,0.9912209661330029,0.9907734890716537,0.9754794647997959,0.9798348794301122
1954-06-07,0.9902869469044693,0.9905362721878986,0.9754794647997959,0.9799400190815669
1954-06-08,0.9902869469044693,0.990033761705671,0.973938805807087,0.9791060011791611
1954-06-09,0.9903472905361103,0.990033761705671,0.9733743969140974,0.9786237611794143
1954-06-10,0.9903472905361103,0.9897781358303982,0.9735627965431681,0.9785382908538548
1954-06-11,0.9900159344174725,0.9900130656461549,0.9737841543452855,0.9788838947614628
1954-06-14,0.9910690525472893,0.9900862361393025,0.9745699210403925,0.978697394166559
1954-06-15,0.9910690525472893,0.9899978353868358,0.9758684558214852,0.9785770676567097
1954-06-16,0.9914004086659269,0.9900862361393025,0.9761875087324242,0.9786190531868141
1954-06-17,0.990407634167751,0.989583725657075,0.974568388805181,0.9781429304166738
1954-06-18,0.990407634167751,0.989583725657075,0.9733552508740874,0.9780676931248462
1954-06-21,0.9906870683380291,0.9898513063235458,0.9732397476362621,0.9785140537273477
1954-06-22,0.9898827297735028,0.989339211462634,0.972493323489336,0.9785140537273477
1954-06-23,0.989822386141862,0.9899296339570118,0.9728876534247008,0.9790634885191977
1954-06-24,0.9895357667561387,0.9901645637727683,0.9727817988604087,0.9792717198979597
1954-06-25,0.9895961103877795,0.9902234803605992,0.973430527898513,0.9790657471486863
1954-06-28,0.9906870683380289,0.9904321444392391,0.9750379957649714,0.97942967674542
1954-06-29,0.9903472905361103,0.9904321444392391,0.9750379957649716,0.9794093727083587
1954-06-30,0.9906267247063881,0.9904018897475318,0.9755277114124785,0.9791327992995817
1954-07-01,0.9906267247063881,0.9902503916209184,0.9762741355594047,0.9792401930658754
1954-07-02,0.9913400650342861,0.9902503916209184,0.9767717355786446,0.9790087510161511
1954-07-06,0.9923546908688631,0.9902806463126257,0.9769601352077154,0.9787886671999839
1954-07-07,0.9914004086659269,0.9898513063235458,0.9767565855346014,0.9784584945097514
1954-07-08,0.990407634167751,0.989339211462634,0.9763566806241833,0.9776817662133072
1954-07-09,0.9914004086659269,0.9894764556839308,0.9776848858792768,0.9775183933823735
