,net_ete
XLB,0.019309038294313713
XLF,0.010386512813229717
XLE,0.003501302059658231
XLC,0.0028581637884011173
XLU,0.002128563402267995
XLV,0.001740513314736741
XLY,0.001288099100481728
XLP,-0.003931571840040043
XLI,-0.005114054654745483
XLK,-0.008747663373563166
XLRE,-0.023418902904740545
