asset,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLU,2026-07-09 09:30:00-04:00,0.005,-0.0006067311210591751,False,700,1
XLU,2026-08-06 09:30:00-04:00,0.015,-0.0016392200503556843,False,700,2
XLU,2026-09-03 09:30:00-04:00,0.005,0.0004865698760160802,False,700,1
XLF,2025-03-24 15:30:00-04:00,0.025,0.001889147986776816,False,699,3
XLF,2025-04-22 15:30:00-04:00,0.0,0.0,False,699,2
XLF,2025-05-20 15:30:00-04:00,0.005,0.0004294920246282043,False,699,2
XLF,2025-06-18 15:30:00-04:00,0.0,0.0,False,699,4
XLF,2025-07-21 12:30:00-04:00,0.0,0.0,False,699,5
XLF,2025-08-18 12:30:00-04:00,0.0,0.0,False,699,1
XLF,2025-09-16 12:30:00-04:00,0.0,0.0,False,699,3
XLF,2025-10-14 12:30:00-04:00,0.0,0.0,False,699,1
XLF,2025-11-11 12:30:00-05:00,0.0,0.0,False,700,2
XLF,2025-12-11 09:30:00-05:00,0.0,0.0,False,700,1
XLF,2026-01-12 13:30:00-05:00,0.0,0.0,False,700,1
XLF,2026-02-12 09:30:00-05:00,0.005,-0.00045467122863420827,False,700,1
XLF,2026-03-13 09:30:00-04:00,0.0,0.0,False,699,1
XLF,2026-04-13 09:30:00-04:00,0.0,0.0,False,699,1
XLF,2026-05-11 09:30:00-04:00,0.005,0.0004926592870842736,False,699,1
XLF,2026-06-09 09:30:00-04:00,0.0,0.0,False,699,1
XLF,2026-07-09 09:30:00-04:00,0.005,0.0004244769168987067,False,699,2
XLF,2026-08-06 09:30:00-04:00,0.005,0.0006542179819899087,False,700,5
XLF,2026-09-03 09:30:00-04:00,0.0,0.0,False,700,5
XLK,2025-03-24 15:30:00-04:00,0.01,-0.0008062299983605598,False,699,1
XLK,2025-04-22 15:30:00-04:00,0.0,0.0,False,699,3
XLK,2025-05-23 14:30:00-04:00,0.0,0.0,False,699,5
XLK,2025-06-24 14:30:00-04:00,0.0,0.0,False,699,5
XLK,2025-07-24 11:30:00-04:00,0.0,0.0,False,699,5
XLK,2025-08-21 11:30:00-04:00,0.0,0.0,False,699,5
XLK,2025-09-19 11:30:00-04:00,0.0,0.0,False,700,2
XLK,2025-10-17 11:30:00-04:00,0.0,0.0,False,699,5
XLK,2025-11-14 11:30:00-05:00,0.0,0.0,False,699,5
XLK,2025-12-15 15:30:00-05:00,0.005,-0.00047982032376963144,False,699,5
XLK,2026-01-15 12:30:00-05:00,0.0,0.0,False,699,1
XLK,2026-02-17 15:30:00-05:00,0.0,0.0,False,699,4
XLK,2026-03-17 15:30:00-04:00,0.0,0.0,False,699,5
XLK,2026-04-15 15:30:00-04:00,0.0,0.0,False,699,4
XLK,2026-05-13 15:30:00-04:00,0.0,0.0,False,699,2
XLK,2026-06-11 15:30:00-04:00,0.0,0.0,False,699,4
XLK,2026-07-13 15:30:00-04:00,0.035,-0.004758246477083199,False,699,4
XLK,2026-08-10 15:30:00-04:00,0.065,-0.00906995857172199,False,699,5
XLK,2026-09-08 15:30:00-04:00,0.005,-0.000620292056510629,False,699,5
XLE,2025-03-24 15:30:00-04:00,0.025,0.0025389558745279946,False,700,5
XLE,2025-04-22 15:30:00-04:00,0.015,0.0010577246346550986,False,699,4
XLE,2025-05-20 15:30:00-04:00,0.03,0.0010893373166852578,False,699,4
XLE,2025-06-18 15:30:00-04:00,0.005,0.00041217408291459534,False,699,4
XLE,2025-07-21 12:30:00-04:00,0.0,0.0,False,699,4
XLE,2025-08-18 12:30:00-04:00,0.0,0.0,False,699,2
XLE,2025-09-16 12:30:00-04:00,0.01,-0.0010908131198433908,False,699,4
XLE,2025-10-14 12:30:00-04:00,0.005,-0.0006064882673446596,False,699,3
XLE,2025-11-11 12:30:00-05:00,0.005,-0.0005945405686110784,False,699,4
XLE,2025-12-11 09:30:00-05:00,0.0,0.0,False,700,3
XLE,2026-01-12 13:30:00-05:00,0.0,0.0,False,699,4
XLE,2026-02-12 09:30:00-05:00,0.0,0.0,False,699,4
XLE,2026-03-13 09:30:00-04:00,0.0,0.0,False,699,5
XLE,2026-04-13 09:30:00-04:00,0.0,0.0,False,699,3
XLE,2026-05-11 09:30:00-04:00,0.0,0.0,False,699,5
XLE,2026-06-09 09:30:00-04:00,0.0,0.0,False,699,4
XLE,2026-07-09 09:30:00-04:00,0.0,0.0,False,699,1
XLE,2026-08-06 09:30:00-04:00,0.005,-0.0005116312240424028,False,699,3
XLE,2026-09-03 09:30:00-04:00,0.01,-0.0009527392233251678,False,699,1
TSLA,2025-03-24 15:30:00-04:00,0.01,0.0008635416976935136,False,699,4
TSLA,2025-04-22 15:30:00-04:00,0.0,0.0,False,699,2
TSLA,2025-05-20 15:30:00-04:00,0.0,0.0,False,699,2
TSLA,2025-06-18 15:30:00-04:00,0.0,0.0,False,699,1
TSLA,2025-07-21 12:30:00-04:00,0.0,0.0,False,699,4
TSLA,2025-08-18 12:30:00-04:00,0.005,-0.0005628477095241879,False,699,2
TSLA,2025-09-16 12:30:00-04:00,0.01,-0.001252299194747557,False,700,1
TSLA,2025-10-14 12:30:00-04:00,0.03,-0.0038650510947979178,False,700,3
TSLA,2025-11-11 12:30:00-05:00,0.0,0.0,False,699,3
TSLA,2025-12-11 09:30:00-05:00,0.0,0.0,False,699,4
TSLA,2026-01-12 13:30:00-05:00,0.0,0.0,False,699,5
TSLA,2026-02-17 14:30:00-05:00,0.01,-0.0011715749454937092,False,699,1
TSLA,2026-03-17 14:30:00-04:00,0.0,0.0,False,699,5
TSLA,2026-04-15 14:30:00-04:00,0.0,0.0,False,699,3
TSLA,2026-05-13 14:30:00-04:00,0.0,0.0,False,699,4
TSLA,2026-06-11 14:30:00-04:00,0.01,-0.0011488914245771312,False,699,5
TSLA,2026-07-13 14:30:00-04:00,0.01,-0.0010103629233304415,False,699,4
TSLA,2026-08-10 14:30:00-04:00,0.005,-0.0003636152526455589,False,699,5
TSLA,2026-09-08 14:30:00-04:00,0.035,-0.0038428950007805894,False,699,5
