asset,window_size,end_date,edge_prob_pe_to_fr,mean_effect_pe_to_fr,is_robust,n_obs,pe_position
XLK,200,2014-09-08,0.09,0.0177994595594985,False,199,4
XLK,200,2014-11-05,0.015,0.0027840508837136744,False,199,1
XLK,200,2015-01-07,0.04,0.0055645677342897075,False,199,3
XLK,200,2015-03-10,0.0,0.0,False,199,3
XLK,200,2015-05-08,0.0,0.0,False,199,1
XLK,200,2015-07-09,0.02,0.0030673155586028113,False,199,3
XLK,200,2015-09-08,0.05,0.00770061072341743,False,199,3
XLK,200,2015-11-05,0.105,0.020873265110791316,False,199,4
XLK,200,2016-01-07,0.01,0.0019324749080638992,False,199,3
XLK,200,2016-03-09,0.0,0.0,False,199,3
XLK,200,2016-05-09,0.0,0.0,False,199,1
XLK,200,2016-07-08,0.005,-0.0008103536426739757,False,199,1
XLK,200,2016-09-07,0.0,0.0,False,199,1
XLK,200,2016-11-04,0.05,0.011800266397432788,False,199,4
XLK,200,2017-01-06,0.0,0.0,False,199,3
XLK,200,2017-03-09,0.0,0.0,False,199,3
XLK,200,2017-05-09,0.0,0.0,False,199,2
XLK,200,2017-07-10,0.01,-0.002149861589792207,False,199,5
XLK,200,2017-09-07,0.0,0.0,False,199,2
XLK,200,2017-11-06,0.0,0.0,False,199,2
XLK,200,2018-01-08,0.0,0.0,False,199,1
XLK,200,2018-03-09,0.005,-0.0009943344692466224,False,199,2
XLK,200,2018-05-09,0.0,0.0,False,199,5
XLK,200,2018-07-10,0.0,0.0,False,199,5
XLK,200,2018-09-07,0.015,0.003316310680010214,False,199,1
XLK,200,2018-11-06,0.135,0.021183002564384865,False,199,3
XLK,200,2019-01-09,0.0,0.0,False,199,3
XLK,200,2019-03-12,0.005,-0.0012871867863967817,False,199,3
XLK,200,2019-05-10,0.005,-0.0027859582448851667,False,199,4
XLK,200,2019-07-11,0.0,0.0,False,199,2
XLK,200,2019-09-10,0.0,0.0,False,199,1
XLK,200,2019-11-07,0.0,0.0,False,199,1
XLK,200,2020-01-09,0.005,0.0006954938967347914,False,199,2
XLK,200,2020-03-11,0.055,-0.006307602393412972,False,199,2
XLK,200,2020-05-11,0.005,0.0006618095034461933,False,199,1
XLK,200,2020-07-10,0.005,0.0004623543985805928,False,199,4
XLK,200,2020-09-09,0.0,0.0,False,199,1
XLK,200,2020-11-06,0.03,-0.0027921725863715337,False,199,1
XLK,200,2021-01-08,0.095,-0.013209883029180042,False,199,3
XLK,200,2021-03-11,0.095,-0.014858988772950306,False,199,1
XLK,200,2021-05-11,0.005,-0.0007424122392737389,False,199,1
XLK,200,2021-07-12,0.0,0.0,False,199,4
XLK,200,2021-09-09,0.01,-0.0014885427407416536,False,199,3
XLK,200,2021-11-08,0.01,-0.001403444661883484,False,199,5
XLK,200,2022-01-07,0.0,0.0,False,199,4
XLK,200,2022-03-10,0.265,-0.06493322316471174,False,199,3
XLK,200,2022-05-10,0.38,-0.09766598832072637,False,199,3
XLK,200,2022-07-12,0.15,-0.042146839536639835,False,199,5
XLK,200,2022-09-09,0.02,-0.003980342488287231,False,199,5
XLK,200,2022-11-08,0.03,0.0030637931312046574,False,199,5
XLK,200,2023-01-10,0.08,0.014957904920635754,False,199,1
XLK,200,2023-03-13,0.015,0.002761360003823587,False,199,2
XLK,200,2023-05-11,0.045,0.008781708100225877,False,199,1
XLK,200,2023-07-13,0.09,0.016139774217796967,False,199,2
XLK,200,2023-09-12,0.04,0.002767719340566706,False,199,1
XLK,200,2023-11-09,0.14,0.02584129275779072,False,199,3
XLK,200,2024-01-11,0.03,0.0057816476608850064,False,199,3
XLK,200,2024-03-13,0.035,0.008053620553911294,False,199,5
XLK,200,2024-05-13,0.03,0.0053969349960329045,False,199,3
XLK,200,2024-07-15,0.195,0.04163184272178459,False,199,2
XLK,200,2024-09-12,0.18,0.03028171575763534,False,199,1
XLK,200,2024-11-11,0.07,0.0149953571969732,False,199,1
XLK,200,2025-01-14,0.055,0.010944734215955987,False,199,1
XLK,200,2025-03-17,0.0,0.0,False,199,2
XLK,200,2025-05-15,0.005,0.0005402818250183487,False,199,1
XLK,200,2025-07-17,0.005,0.0005260405946196884,False,199,1
XLK,200,2025-09-16,0.0,0.0,False,199,1
XLK,200,2025-11-13,0.0,0.0,False,199,1
XLF,200,2000-04-27,0.025,-0.004862712948374656,False,199,1
XLF,200,2000-06-27,0.045,-0.00844027629236908,False,199,2
XLF,200,2000-08-25,0.02,-0.007602981472747222,False,199,4
XLF,200,2000-10-25,0.045,-0.008068750299649983,False,199,2
XLF,200,2000-12-26,0.045,0.003755505129255056,False,199,1
XLF,200,2001-02-27,0.08,0.01506393674889366,False,199,1
XLF,200,2001-04-27,0.025,0.004835128780121161,False,199,1
