date,pe_sp600,pe_sp500,diff
1995-10-27,0.9730323797777757,0.9869969384072151,-0.01396455862943946
1995-10-30,0.9730323797777757,0.986899635648228,-0.013867255870452344
1995-10-31,0.9729173404083752,0.9862242437261746,-0.013306903317799379
1995-11-01,0.9734910878643431,0.9862242437261746,-0.012733155861831436
1995-11-02,0.973364507736054,0.9862242437261746,-0.01285973599012058
1995-11-03,0.973364507736054,0.9862242437261746,-0.01285973599012058
1995-11-06,0.973491087864343,0.9862242437261746,-0.012733155861831547
1995-11-07,0.9734910878643431,0.9862242437261746,-0.012733155861831436
1995-11-08,0.9731980154147286,0.9862242437261746,-0.013026228311445953
1995-11-09,0.9726573211596867,0.9862242437261746,-0.013566922566487838
1995-11-10,0.9726573211596867,0.9867649379812165,-0.014107616821529723
1995-11-13,0.9723829514967571,0.9873717386381101,-0.014988787141352988
1995-11-14,0.9721292710414754,0.9877798504571248,-0.0156505794156494
1995-11-15,0.9702447023064631,0.9886929600275518,-0.018448257721088712
1995-11-16,0.9708700551836614,0.9893909921850702,-0.018520937001408777
1995-11-17,0.9711420064810983,0.9898787411030692,-0.018736734621970896
1995-11-20,0.9713624752960587,0.9896250606477872,-0.018262585351728533
1995-11-21,0.9712651725370717,0.9896250606477872,-0.01835988811071554
1995-11-22,0.9709660977797191,0.9891373117297882,-0.018171213950069154
1995-11-24,0.9708917203415599,0.989593724389617,-0.018702004048057108
1995-11-27,0.9714538625321679,0.9905117993876557,-0.019057936855487734
1995-11-28,0.9722876292368242,0.9903090671831088,-0.018021437946284635
1995-11-29,0.9728283234918661,0.9904497671578584,-0.017621443665992276
1995-11-30,0.9728283234918661,0.9896160004532024,-0.016787676961336317
1995-12-01,0.9728985644650264,0.9900241122722171,-0.017125547807190666
1995-12-04,0.9734293545630144,0.990024112272217,-0.0165947577092026
1995-12-05,0.9729729419031858,0.9901506924005061,-0.017177750497320288
1995-12-06,0.972256871462637,0.9908941188600949,-0.01863724739745798
1995-12-07,0.972256871462637,0.9909844591051623,-0.018727587642525356
1995-12-08,0.9727132841224659,0.991142833887765,-0.01842954976529909
1995-12-11,0.9734729843379017,0.9913012086703678,-0.017828224332466003
1995-12-12,0.9733464042096128,0.9906258167483142,-0.017279412538701355
1995-12-13,0.9736543628311467,0.9908930968513529,-0.017238734020206148
1995-12-14,0.9746692753070552,0.9910337968261027,-0.016364521519047548
1995-12-15,0.9744276558093657,0.9908754220435002,-0.016447766234134464
1995-12-18,0.9734443052657782,0.9907488419152111,-0.017304536649432878
1995-12-19,0.9726170357939244,0.9909904614129003,-0.018373425618975814
1995-12-20,0.9726170357939244,0.9907877292083532,-0.018170693414428785
1995-12-21,0.973422606657897,0.9902470349533116,-0.01682442829541453
1995-12-22,0.9743891003948707,0.9902470349533116,-0.015857934558440867
1995-12-26,0.9734057498512831,0.9900265661383512,-0.01662081628706802
1995-12-27,0.9725719831466267,0.9896009112527095,-0.017028928106082808
1995-12-28,0.9725719831466267,0.9891084911403124,-0.016536507993685667
1995-12-29,0.972179236865621,0.9894015635899268,-0.017222326724305792
1996-01-02,0.9720208620830183,0.9884769913590857,-0.016456129276067433
1996-01-03,0.9721792368656209,0.9878015994370324,-0.015622362571411474
1996-01-04,0.9718047376790673,0.9875479189817504,-0.01574318130268315
1996-01-05,0.9709709709744111,0.9875479189817504,-0.01657694800733933
1996-01-08,0.969578822351796,0.9881193710109798,-0.018540548659183753
1996-01-09,0.9693583535368355,0.9884184457683323,-0.01906009223149674
1996-01-10,0.9691837049983859,0.9875797136360642,-0.01839600863767832
1996-01-11,0.9687580501127443,0.9872806388787118,-0.018522588765967463
1996-01-12,0.9692228895443654,0.9878656905556978,-0.01864280101133242
1996-01-15,0.9696211884109666,0.9885118142562996,-0.018890625845333076
1996-01-16,0.9696211884109666,0.9882445341532607,-0.018623345742294184
1996-01-17,0.9688156175469939,0.9885118142562996,-0.01969619670930578
1996-01-18,0.9678007050710854,0.9888513348101547,-0.02105062973906935
1996-01-19,0.9684075057279793,0.9894974585107565,-0.021089952782777255
1996-01-22,0.9685340858562682,0.9893228099723066,-0.020788724116038382
1996-01-23,0.9694521608543069,0.9887920198743185,-0.019339859020011674
1996-01-24,0.9706304135404297,0.9884097004018794,-0.017779286861449695
1996-01-25,0.9710964638505476,0.9880701798480246,-0.01697371599747699
1996-01-26,0.9719148650171947,0.9882513256192766,-0.016336460602081937
1996-01-29,0.9729537349988024,0.9886769805049183,-0.015723245506115813
1996-01-30,0.9733360544712415,0.9889947520788657,-0.015658697607624172
1996-01-31,0.9741698211758979,0.9886956773215132,-0.014525856145615301
1996-02-01,0.9749132476354868,0.9886956773215132,-0.013782429686026387
1996-02-02,0.9747499074252723,0.9880495536209113,-0.013299646195638948
1996-02-05,0.9750692050808762,0.9878290848059511,-0.012759879725074863
1996-02-06,0.9747701303235236,0.9877025046776622,-0.012932374354138632
1996-02-07,0.9756088624557914,0.9881902535956611,-0.01258139113986978
1996-02-08,0.9769317335532338,0.9881902535956611,-0.011258520042427334
1996-02-09,0.9782250533352056,0.9881902535956611,-0.009965200260455553
1996-02-12,0.9787174734476028,0.9891083285936999,-0.010390855146097056
1996-02-13,0.9766092543844391,0.9897541580610882,-0.013144903676649111
1996-02-14,0.9762622054411897,0.9893287974086602,-0.013066591967470509
1996-02-15,0.9762622054411897,0.989974921109262,-0.013712715668072306
1996-02-16,0.9767424259697943,0.989635400555407,-0.012892974585612671
1996-02-20,0.9776669982006354,0.9896354005554072,-0.011968402354771812
1996-02-21,0.9780140471438847,0.9899824494986564,-0.011968402354771701
1996-02-22,0.9782345159588449,0.9899824494986563,-0.011747933539811406
1996-02-23,0.978234515958845,0.9896050687556595,-0.011370552796814426
1996-02-26,0.9769116448614026,0.9890040376845111,-0.012092392823108478
1996-02-27,0.9758617537527956,0.9890040376845113,-0.013142283931715681
1996-02-28,0.9753740048347964,0.9884529166209025,-0.013078911786106096
1996-02-29,0.9759750359059448,0.9870630634250263,-0.011088027519081445
1996-03-01,0.9762681083555593,0.9871781027944264,-0.010909994438867088
1996-03-04,0.9759750359059448,0.986860331220479,-0.010885295314534194
1996-03-05,0.9752531958796506,0.9876787323871264,-0.012425536507475798
1996-03-06,0.974913675325796,0.9883705534254846,-0.013456878099688652
1996-03-07,0.97452092904479,0.9884971335537738,-0.013976204508983736
1996-03-08,0.9745209290447903,0.9884971335537738,-0.013976204508983514
1996-03-11,0.9745209290447903,0.9884971335537738,-0.013976204508983514
1996-03-12,0.9755358415206985,0.9884971335537736,-0.012961292033075056
1996-03-13,0.9757169872919507,0.9884971335537736,-0.012780146261822889
1996-03-14,0.9750697912105807,0.9886237136820627,-0.013553922471482016
1996-03-15,0.9737764714286091,0.987552229329033,-0.013775757900423846
1996-03-18,0.9730330449690202,0.9870115350739911,-0.013978490104970875
1996-03-19,0.9723576530469665,0.9868849549457019,-0.014527301898735412
1996-03-20,0.9712159277207765,0.9861023439401339,-0.014886416219357379
1996-03-21,0.9703821610161201,0.9854562202395318,-0.015074059223411762
1996-03-22,0.9710982314566687,0.9851631477899173,-0.014064916333248578
1996-03-25,0.9719319981613251,0.9857699484468112,-0.013837950285486067
1996-03-26,0.9733241467839402,0.9857699484468112,-0.012445801662871014
1996-03-27,0.9735446155989004,0.9856549090774109,-0.012110293478510559
1996-03-28,0.9734391861533405,0.9864886757820673,-0.013049489628726874
1996-03-29,0.9741826126129293,0.9875601601350971,-0.013377547522167799
1996-04-01,0.9730577440933531,0.9872928800320582,-0.014235135938705068
1996-04-02,0.9727399725194059,0.9868672251464166,-0.014127252627010645
1996-04-03,0.9722119224011945,0.9872928800320582,-0.0150809576308637
1996-04-04,0.9717195022887973,0.9875344995297476,-0.015814997240950257
1996-04-08,0.9715448537503475,0.9876495388991476,-0.016104685148800146
1996-04-09,0.9723906754425061,0.9879673104730953,-0.015576635030589148
1996-04-10,0.9732998665763634,0.9881256852556979,-0.014825818679334524
1996-04-11,0.9736981654429647,0.9877000303700564,-0.014001864927091656
1996-04-12,0.9737725428811239,0.9877000303700564,-0.013927487488932466
1996-04-15,0.9737725428811239,0.9877000303700564,-0.013927487488932466
1996-04-16,0.9744186665817259,0.9869276207743791,-0.012508954192653188
1996-04-17,0.9749064154997247,0.9858145189791817,-0.010908103479457032
1996-04-18,0.9746647960020357,0.9852738247241398,-0.010609028722104119
1996-04-19,0.9752362480312647,0.984934304170285,-0.009698056139020306
1996-04-22,0.9764241383676766,0.9846670240672462,-0.008242885699569547
1996-04-23,0.9783087071026887,0.9839235976076571,-0.0056148905049684394
1996-04-24,0.9785464247510622,0.9839235976076571,-0.005377172856594892
1996-04-25,0.9787210732895122,0.9839235976076571,-0.005202524318144941
1996-04-26,0.9791467281751537,0.9839235976076571,-0.004776869432503439
1996-04-29,0.97890901052678,0.9844543877056452,-0.005545377178865163
1996-04-30,0.9778097897574892,0.9853002093978038,-0.007490419640314605
1996-05-01,0.9778097897574892,0.9861274788696578,-0.00831768911216857
1996-05-02,0.9771343978354355,0.9857451593972186,-0.008610761561783087
1996-05-03,0.9771343978354355,0.9862858536522603,-0.00915145581682475
1996-05-06,0.9780806686741581,0.9864265536270103,-0.008345884952852156
1996-05-07,0.9771625936761194,0.9857807241596219,-0.008618130483502573
1996-05-08,0.9759360806904573,0.9859834563641691,-0.010047375673711723
1996-05-09,0.9754558601618526,0.986514246462157,-0.011058386300304424
1996-05-10,0.9751163396079975,0.9872968574677256,-0.012180517859728068
1996-05-13,0.9755417002604256,0.986979085893778,-0.011437385633352393
1996-05-14,0.9762170921824791,0.98644829579579,-0.010231203613310869
1996-05-15,0.9755980919417929,0.9859834563641691,-0.010385364422376142
1996-05-16,0.9751727312893649,0.9853766557072755,-0.010203924417910626
1996-05-17,0.9750193219343737,0.9859074458052633,-0.010888123870889665
1996-05-20,0.975511742046771,0.9863722852368845,-0.010860543190113425
1996-05-21,0.9760464339940748,0.9857264557694961,-0.009680021775421377
1996-05-22,0.9760464339940748,0.985621026323936,-0.009574592329861242
1996-05-23,0.9765975550576834,0.985238706851497,-0.008641151793813528
1996-05-24,0.9771486761212921,0.9848991862976422,-0.007750510176350089
1996-05-28,0.977530995593731,0.9838603163160343,-0.0063293207223033
1996-05-29,0.9765476450501435,0.9842426357884736,-0.007694990738330132
1996-05-30,0.9769250257931404,0.9840842610058709,-0.00715923521273043
1996-05-31,0.9774206274187287,0.9836182106957531,-0.006197583277024354
1996-06-03,0.9779514175167169,0.9835031713263526,-0.005551753809635684
1996-06-04,0.9783595293357317,0.9838502202696021,-0.005490690933870446
1996-06-05,0.9780664568861172,0.9846774897414561,-0.0066110328553389275
1996-06-06,0.9784135058293664,0.9854209162010449,-0.007007410371678513
1996-06-07,0.9768790342221705,0.9861933257967223,-0.00931429157455177
1996-06-10,0.9748410561321671,0.9861933257967223,-0.011352269664555159
1996-06-11,0.9745994366344777,0.9861933257967223,-0.011593889162244575
1996-06-12,0.9752062372913712,0.9855865251398286,-0.010380287848457348
1996-06-13,0.9756505889936079,0.9851608702541872,-0.00951028126057929
1996-06-14,0.9777588080567715,0.9856564718797755,-0.007897663823003942
1996-06-17,0.9784806480830655,0.9854360030648152,-0.006955354981749706
