year,mean,std,count
1996,-0.008818019003675358,0.000622574281677837,46
1997,-0.008977355863930109,0.0019010836092949142,253
1998,-0.005750130083037865,0.002217914603809813,252
1999,-0.0021406222139250058,0.001473174955295371,252
2000,-9.851758253378523e-05,0.0008709504663309578,252
2001,0.0006450116663419793,0.0020285924355666718,248
2002,-0.00415737183982845,0.002257983049360252,252
2003,-0.0011527362806672578,0.0022521699534918853,252
2004,0.006596327653268884,0.0026088255802576006,252
2005,0.005235386606546308,0.0019448010159158107,252
2006,0.002091833145977974,0.0013510582926981182,251
2007,0.0007071329391129303,0.0013870660245277238,251
2008,0.004464913053909846,0.0016658041155618506,253
2009,0.005666208678650453,0.002005092193477038,252
2010,0.0031828160012885294,0.0008750425984121062,252
2011,0.00221051071790208,0.001071482680240557,252
2012,-5.6637441100578555e-05,0.0013430264697309885,250
2013,0.00016524506970831885,0.0015644372596530693,252
2014,0.0004803363499617929,0.0008058235451988474,252
2015,0.004732380888272069,0.0017527143494844395,252
2016,0.0035264715729203086,0.003198493567039069,252
2017,-0.0012691419925323012,0.0015527246962306132,251
2018,-0.00031167543613881205,0.0011983162373250976,251
2019,0.00442325917824601,0.0017217627544417178,252
2020,0.0009452216067133153,0.0025244288081510144,253
2021,0.001043317644103766,0.0017738811623117484,252
2022,-0.00017806857246587817,0.0018583258548989588,251
2023,0.005094008760404936,0.0012152152370341674,250
2024,0.0034818652791153955,0.002144446973966705,252
2025,0.0024919966557958766,0.0020731513906723717,249
