year,mean,std,count
1995,-0.012899031731417654,0.0006720362707316911,44
1996,-0.009052935068390094,0.004414859875471813,254
1997,-0.0011932184063334554,0.003093674170202362,253
1998,-0.0030424469009949023,0.0038246034043025235,252
1999,0.001861405648260925,0.0022131057155915937,252
2000,0.00211361323680208,0.004353327185143043,252
2001,-0.0020006171962882223,0.003629683029943641,248
2002,-0.005671921419404518,0.0030303651993643186,252
2003,0.0070913393110949895,0.006110139440005361,252
2004,0.001358945352775759,0.0029325857895867394,252
2005,0.0015720515784549574,0.002532035544334512,252
2006,0.004604501227790102,0.003359568202375923,251
2007,-0.0007342961309466077,0.0030404773692436844,251
2008,0.0058079442158331905,0.004167456559176632,253
2009,0.0015819163784709471,0.0018734235527848408,252
2010,0.004575006466587845,0.0036119269317690956,252
2011,3.4466818816133696e-05,0.0017233621342652684,252
2012,-6.837799067271311e-05,0.0014421187822686228,250
2013,-0.001952055691899679,0.0018784416137569602,252
2014,0.005579571876620072,0.00284942328983638,252
2015,0.004063998815571687,0.002502014185177567,252
2016,0.004576346461892528,0.00396919505908598,252
2017,0.0004324900941600994,0.0026388701745425013,251
2018,0.0036446358892689087,0.003337889684435561,251
2019,0.009780108806641999,0.005290438299661873,252
2020,-0.00010017107793825622,0.0035626688896000986,253
2021,-0.0012625169657114312,0.0045837618927112,252
2022,0.0005689358601695789,0.005242018544999415,251
2023,0.0017954184269842117,0.004128491820694683,250
2024,0.0011886614245903775,0.00281370779223706,252
2025,0.005655117838525976,0.003187896835544451,249
