year,mean,std,count
1996,-0.0064998727356123205,0.0007512349555452033,46
1997,-0.0056529953646360185,0.001506732849101604,253
1998,-0.0026697796577431865,0.0010797113457884215,252
1999,-0.0009821634599639947,0.0007312756814762451,252
2000,0.0007954672403705399,0.0007892731745638066,252
2001,0.0009158328333133399,0.0007887377186950804,248
2002,-0.0023206979639966725,0.0007548510158093807,252
2003,-0.0009850329478765685,0.0016822341948771835,252
2004,0.004081511329393447,0.0014121867655675253,252
2005,0.0015507319966748577,0.0006800132590482435,252
2006,0.0027846002888751134,0.001519052422215809,251
2007,0.0017620363228873098,0.0009403524398441648,251
2008,0.0028070797531061756,0.000940048324705966,253
2009,0.0029397646471694566,0.001025324516676664,252
2010,0.0028521983369772944,0.0006514398985327664,252
2011,0.00010127378226422963,0.0009923266976208875,252
2012,-0.0005559060503850737,0.0004963626505696116,250
2013,-0.0017912390530679142,0.0012206859348907466,252
2014,0.0024972218672965002,0.0010389247274453983,252
2015,0.005495243773926859,0.0008370879390747156,252
2016,0.003953110031787838,0.0016708746047575506,252
2017,0.0001644648968125749,0.0005296433173751695,251
2018,0.0008378137900996759,0.0009953447572097149,251
2019,0.00791508503253133,0.0014296524852975832,252
2020,0.0035496639590243137,0.0023659696612354625,253
2021,0.0007747255214253433,0.0013447177847994614,252
2022,-0.0005900584263042813,0.0010115400796288716,251
2023,0.002315706816920518,0.000856263544428475,250
2024,0.0014572432782976443,0.00037204544166495563,252
2025,0.002916063126833314,0.0007308397850283387,249
