year,mean,std,count
1995,-0.01642905920421407,0.002070987880683368,44
1996,-0.011764872180865667,0.004710163577952546,254
1997,-0.0030538646526828334,0.0054182291437886426,253
1998,-0.006093948772451521,0.005290444136123405,252
1999,0.005677278338781994,0.0032194906290252145,252
2000,0.0028313751407466952,0.0050905768166138584,252
2001,-0.004996849119947139,0.0044939429865904134,248
2002,-0.009148013131158239,0.0034371174821472283,252
2003,0.01153798010306925,0.008470802871034258,252
2004,0.004606318148458825,0.005617140752019977,252
2005,0.002660077480651715,0.0022066655818446415,252
2006,0.0026725975431313893,0.005650031264772825,251
2007,-0.0032577125804250364,0.005227184537814021,251
2008,0.01446403443648328,0.005975661191754231,253
2009,0.00016229122672063083,0.0030939192368790785,252
2010,0.004278014164170416,0.004140025728757296,252
2011,0.0011443212856630009,0.002866487266189077,252
2012,0.0018865680400159794,0.004729806786875403,250
2013,-0.00281730973469705,0.004185299167401204,252
2014,0.0007193867034988108,0.005893635565222847,252
2015,0.004664562252946229,0.005758392827157054,252
2016,0.0021396482976785056,0.006864662687905337,252
2017,0.0011393158410225904,0.003239048183284512,251
2018,0.003305350949182374,0.009676860914440255,251
2019,0.0056488820756967735,0.003953045213124115,252
2020,0.0037531009255720635,0.0041861534964755835,253
2021,-0.002369270484787528,0.006831888817076449,252
2022,0.0056857478954317735,0.00849341638225635,251
2023,0.005331302342099006,0.005589892762436132,250
2024,0.0002708638158416561,0.003791122769723051,252
2025,0.0024524292500820158,0.0037046693953043342,249
