year,XLK,XLE,XLV,XLF,XLP,XLY,XLI,XLU,XLB,XLRE,XLC
2000,0.05555555555555555,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.8333333333333334,0.5,0.16666666666666666,0.2777777777777778,0.3888888888888889,,
2001,0.5,0.6111111111111112,0.7222222222222222,0.8333333333333334,0.05555555555555555,0.16666666666666666,0.2777777777777778,0.3888888888888889,0.9444444444444444,,
2002,0.05555555555555555,0.2777777777777778,0.8333333333333334,0.16666666666666666,0.3888888888888889,0.9444444444444444,0.7222222222222222,0.5,0.6111111111111112,,
2003,0.6111111111111112,0.7222222222222222,0.5,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.05555555555555555,0.9444444444444444,0.8333333333333334,,
2004,0.9444444444444444,0.8333333333333334,0.05555555555555555,0.6111111111111112,0.5,0.16666666666666666,0.7222222222222222,0.3888888888888889,0.2777777777777778,,
2005,0.05555555555555555,0.9444444444444444,0.2777777777777778,0.8333333333333334,0.16666666666666666,0.7222222222222222,0.3888888888888889,0.6111111111111112,0.5,,
2006,0.05555555555555555,0.7222222222222222,0.2777777777777778,0.3888888888888889,0.16666666666666666,0.9444444444444444,0.8333333333333334,0.6111111111111112,0.5,,
2007,0.05555555555555555,0.2777777777777778,0.3888888888888889,0.8333333333333334,0.9444444444444444,0.16666666666666666,0.6111111111111112,0.5,0.7222222222222222,,
2008,0.6111111111111112,0.3888888888888889,0.5,0.9444444444444444,0.05555555555555555,0.8333333333333334,0.2777777777777778,0.7222222222222222,0.16666666666666666,,
2009,0.6111111111111112,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.9444444444444444,0.8333333333333334,0.5,0.7222222222222222,0.3888888888888889,,
2010,0.7222222222222222,0.6111111111111112,0.16666666666666666,0.05555555555555555,0.3888888888888889,0.2777777777777778,0.8333333333333334,0.9444444444444444,0.5,,
2011,0.16666666666666666,0.5,0.7222222222222222,0.2777777777777778,0.3888888888888889,0.05555555555555555,0.6111111111111112,0.9444444444444444,0.8333333333333334,,
2012,0.5,0.8333333333333334,0.7222222222222222,0.05555555555555555,0.3888888888888889,0.16666666666666666,0.6111111111111112,0.9444444444444444,0.2777777777777778,,
2013,0.5,0.3888888888888889,0.8333333333333334,0.05555555555555555,0.7222222222222222,0.16666666666666666,0.9444444444444444,0.6111111111111112,0.2777777777777778,,
2014,0.7222222222222222,0.2777777777777778,0.5,0.05555555555555555,0.8333333333333334,0.16666666666666666,0.9444444444444444,0.3888888888888889,0.6111111111111112,,
2015,0.3888888888888889,0.9444444444444444,0.7222222222222222,0.8333333333333334,0.6111111111111112,0.5,0.2777777777777778,0.05555555555555555,0.16666666666666666,,
2016,0.25,0.65,0.75,0.05,0.55,0.85,0.35,0.15,0.45,0.95,
2017,0.05,0.75,0.35,0.25,0.15,0.95,0.45,0.55,0.85,0.65,
2018,0.55,0.25,0.65,0.05,0.15,0.75,0.95,0.35,0.45,0.85,
2019,0.22727272727272727,0.4090909090909091,0.6818181818181818,0.8636363636363636,0.7727272727272727,0.045454545454545456,0.5909090909090909,0.3181818181818182,0.5,0.9545454545454546,0.13636363636363635
2020,0.045454545454545456,0.9545454545454546,0.22727272727272727,0.3181818181818182,0.8636363636363636,0.7727272727272727,0.5909090909090909,0.5,0.13636363636363635,0.6818181818181818,0.4090909090909091
2021,0.8636363636363636,0.9545454545454546,0.5,0.3181818181818182,0.13636363636363635,0.4090909090909091,0.6818181818181818,0.22727272727272727,0.7727272727272727,0.045454545454545456,0.5909090909090909
2022,0.22727272727272727,0.8636363636363636,0.5909090909090909,0.6818181818181818,0.4090909090909091,0.3181818181818182,0.13636363636363635,0.5,0.7727272727272727,0.045454545454545456,0.9545454545454546
2023,0.4090909090909091,0.6818181818181818,0.045454545454545456,0.8636363636363636,0.5,0.22727272727272727,0.3181818181818182,0.9545454545454546,0.7727272727272727,0.13636363636363635,0.5909090909090909
2024,0.4090909090909091,0.045454545454545456,0.6818181818181818,0.8636363636363636,0.7727272727272727,0.5,0.22727272727272727,0.9545454545454546,0.3181818181818182,0.5909090909090909,0.13636363636363635
2025,0.7727272727272727,0.5,0.13636363636363635,0.8636363636363636,0.9545454545454546,0.5909090909090909,0.045454545454545456,0.4090909090909091,0.6818181818181818,0.3181818181818182,0.22727272727272727
