date,us,japon,uk,hongkong,alemania,australia,brasil,china,india
1999-12-24,,,,,,0.997731902119869,,,
1999-12-29,,,,,,0.9980301548498669,,,
1999-12-30,,,,,,0.9980301548498669,,,
2000-01-03,0.9988461714545964,,,,0.9981095703382078,,,,
2000-01-04,0.9987556271752245,,0.9956152319902444,,0.9981095703382078,0.9980301548498669,,,
2000-01-05,0.9986407597211988,,0.9960264532628944,,0.9979843619410266,0.9980301548498669,,,
2000-01-06,0.9988597300121023,,0.9960004453673899,,0.9980838056855594,0.9980301548498669,,,
2000-01-07,0.9988597300121023,,0.9959214687069743,,0.9981583667410879,0.9980301548498669,,,
2000-01-10,0.9989997625039538,,0.9956843184598538,,0.9983223623284705,0.9980544571338625,,,
2000-01-11,0.9989997625039538,,0.9957759291894214,,0.9980965849802561,0.9979790529201988,,,
2000-01-12,0.9990903067833258,,0.9960004453673899,,0.9983371864231408,0.997966968180528,,,
2000-01-13,0.9990501173131117,,0.9961664857547459,,0.998324407128444,0.9980544571338625,,,
2000-01-14,0.9991753257102928,,0.9961795657524443,0.997373915867393,0.9981329533772391,0.9979257834522864,,,
2000-01-17,,,0.9962645846794114,0.9973157698066337,0.9983614700804526,0.9980421552100731,,,
2000-01-18,0.9991628336029825,,0.9962645846794114,0.9973569518585816,0.9983614700804526,0.9979342608834765,0.9982764234103592,,
2000-01-19,0.9992399826889163,,0.9966495700544252,0.9975229922459377,0.9983614700804526,0.9976634047488846,0.998337525893237,,
2000-01-20,0.9991346460037911,,0.9969639476923546,0.9977312956572176,0.9981575242219374,0.9977712990754813,0.998128861814597,,
2000-01-21,0.9991214102845208,0.9958812227313947,0.9971436581200958,0.997623401330621,0.9981445963241311,0.9980300704704023,0.9982380821487041,,
2000-01-24,0.9990308660051489,0.9956286664973122,0.9971436581200958,0.9977312956572177,0.9983337180879759,0.9981046315259307,0.9981649116555568,,
2000-01-25,0.9989595730337397,0.9956918531666512,0.9971969275880082,0.9978757300273245,0.9983463521571279,0.998285696345675,,,0.9982220940804388
2000-01-26,0.9991362026902743,0.9956314151833396,0.9971436581200958,0.9979169120792725,0.9981782152351897,,0.9981649116555567,,0.9981706728210855
2000-01-27,0.9991619098827773,0.9958957990251665,0.9970695112729461,0.9979169120792725,0.9984095388264669,0.9984419935216933,0.9981915425682649,,0.9980449133595842
2000-01-28,0.9990317277899681,0.9958599318865533,0.9968228054217345,0.9979169120792725,0.9983463521571279,0.9983665893080296,0.9981915425682649,,0.9979922745513715
2000-01-31,0.9989604348185588,0.9960614069507716,0.9966320871492247,0.9979169120792725,0.9981028110215259,0.9981109634327568,0.9979573420180424,,0.998070326723433
2000-02-01,0.9991116511112444,0.9960105735818063,0.9965511941868702,0.9981026404264609,0.9981782152351899,0.9980224792213946,0.9981009982888931,,0.9982363671107891
2000-02-02,0.9991116511112444,0.9959384324965075,0.9968368788881705,0.9980887428875767,0.9982080637622486,0.9981769635981999,0.998232724620213,,0.9979719832689624
2000-02-03,0.9991116511112446,0.9959982202814326,0.9968368788881705,0.9980887428875767,0.9983720593496309,0.9984205047338017,0.9983380613053384,,0.9979719832689622
2000-02-04,0.9988979585027012,0.9959982202814326,0.9969046918528268,,0.9983720593496309,0.9984611844403035,0.9981944050344879,,0.9979719832689622
2000-02-07,0.9988979585027012,0.9963889006586826,0.9970071660717291,,0.9981583667410877,0.9983193632353339,0.9981297480558643,,0.9979719832689622
2000-02-08,0.9987845569235579,0.9962506122638033,0.9968368788881705,0.9980887428875767,0.9979773019213435,0.9984205047338016,0.9984125589816542,,0.9982069139866586
2000-02-09,0.9986970679702234,0.9965517682901643,0.9968368788881705,0.9980887428875767,0.9982208430569454,0.9983526917691454,0.9983718792751523,,0.9982332297036272
2000-02-10,0.9987845569235579,0.9962760256276519,0.9968368788881705,0.9980887428875767,0.9983720593496309,0.9981982073923404,0.998232724620213,,0.9981685727250036
2000-02-11,0.9986970679702234,,0.9966461606156607,0.998249614249051,0.9983466459857823,0.9979546662567386,0.998284145879566,,0.9980175904623197
2000-02-14,0.9986573570598167,0.9966020270616971,0.9964314624242052,0.99829293621514,0.9984703053512016,0.9979546662567386,0.9981985817197925,,0.9978494535403818
2000-02-15,0.998784556923558,0.9967532433543829,0.9964051467072367,0.9981713084684405,0.9984703053512016,0.9979266952514183,0.9980822099620056,0.9986454783109486,0.9978891644507883
2000-02-16,0.9986970679702234,0.9967532433543826,0.9963364959954146,0.9981713084684405,0.9985205641227343,0.998027836749886,0.9980822099620056,0.9988659699973329,0.9978891644507883
2000-02-17,0.9985289310482852,0.9969277360887674,0.9966190071515264,0.9980200921757545,0.9986866045100903,0.9982102921320112,0.9980951378598119,0.9988517160920162,0.9978891644507883
2000-02-18,0.9984294873037527,0.9968893948271125,0.9964173889577692,0.9980200921757545,0.9986103378430531,0.9981230481724279,0.9981934813142826,0.9987567496632257,0.9980004358030654
2000-02-21,,0.996575746693441,0.9960957563364775,0.9981677278179588,0.9987578994388154,0.9981230481724279,0.9983235790276274,0.9988692734054567,0.9981685727250034
2000-02-22,0.9984294873037527,0.9967149020927278,0.9964915358049189,0.9983439717401353,0.9987709794365137,0.9983665893080298,0.9983098530720693,0.998769829660924,0.9982380821487041
2000-02-23,0.9982724358394641,0.9967635124682951,0.9964915358049189,0.9982744623164347,0.9987966866290169,0.9984205047338017,0.9984779899940075,0.9988659699973329,0.9981096561371728
2000-02-24,0.9981480844894886,0.996874091836016,0.9964915358049189,0.9982744623164347,0.9986617591024065,0.9986368038926903,0.9986171446489468,0.998991729458834,0.9981685727250036
2000-02-25,0.9981480844894886,0.9968254814604487,0.9968612909206142,0.9982090442135249,0.9986617591024065,0.9986368038926903,0.9985046209067158,0.9988955891224252,0.9982380821487042
2000-02-28,0.9981480844894886,0.996876902719802,0.9969441955377529,0.997932957269711,0.9986617591024063,0.9986368038926906,0.9986171446489468,0.9987863687883177,0.9981339793118265
2000-02-29,0.9982724358394639,0.9972228110197389,0.9968612909206142,0.99802909760612,0.9988341661058527,0.9986637576436344,0.9987571771407984,0.9986627094228984,0.9981848126807918
2000-03-01,0.9981348487702185,0.9973828647228117,0.9971190046165943,0.9981289406277574,0.9988341661058527,0.9984231562007497,0.9986710600747188,0.9985369499613973,0.9984373689148743
2000-03-02,0.9980941690637166,0.9973314434634584,0.9967601494221463,0.9979889081359058,0.9988341661058527,0.9984953757279451,0.9986444291620105,0.9986208984164099,0.9986198242969996
2000-03-03,0.9979623555017216,0.9970341455390889,0.996545451230691,0.997932957269711,0.9986427123546479,0.9985229992223872,0.9988850306048951,0.9986208984164099,0.9985781273361216
2000-03-06,0.9978393810474575,0.9973189513561478,0.9964915358049189,0.997932957269711,0.9987885121524038,0.9986408280148229,,0.9986208984164099,0.9986631462630884
2000-03-07,0.9976379927509987,0.9972542943775244,0.9968023743327833,0.998111776951764,0.9988139255162524,0.9986543865723289,,0.9986208984164099,0.9987964539535339
2000-03-08,0.9976781822212129,0.9973314434634584,0.9971612295272313,0.998111776951764,0.9987887993397901,0.9986543865723286,0.9988180351814249,0.9986606093268167,0.9989251276351103
2000-03-09,0.9976518665042443,0.9976492837391644,0.9973540199526708,0.9979641413095596,0.9988566123044466,0.9986408280148229,0.9986772767601776,0.9986461702955046,0.9989648385455171
2000-03-10,0.9974640413918261,0.9974892300360918,0.997252878454203,0.9980862895414732,0.9986627681900053,0.9983882717807404,0.9985112363728215,0.9984256786091202,0.9989648385455171
2000-03-13,0.9972600057864228,0.997577714247454,0.9970600880287634,0.9983591335808587,0.9985732658036978,0.9984743888468199,0.9984185337568481,0.9984256786091202,0.9989648385455171
2000-03-14,0.9972600057864227,0.9978430159105764,0.997201909233733,0.9982629932444496,0.998703447896507,0.9984743888468198,0.9984185337568481,0.9985218189455293,0.9989648385455171
2000-03-15,0.9970668106989312,0.9979391562469855,0.9972154677912388,0.9982629932444496,0.9988318739080387,0.9983745458251824,0.9984185337568481,0.9986454783109486,0.9987944679030627
2000-03-16,0.9970006133332127,0.9976492837391646,0.9971621983233264,0.9982629932444496,0.9988972920109485,0.9983745458251827,0.9984984570781245,0.9987141290227706,0.9986561795081832
2000-03-17,0.9970006133332127,0.9975721346532307,0.9970926888996259,0.9982629932444496,0.9991012378694636,0.9983016157345606,0.9985730181336531,0.9988254003750476,
2000-03-20,0.9969336179097423,,0.9970926888996259,0.998111776951764,0.9991012378694636,0.99813893036989,0.9984046362179639,0.9988517160920162,
2000-03-21,0.9971351689777185,0.9976738545838629,0.9971349138102629,0.9979641413095597,0.9988972920109485,0.99813893036989,0.998289768763938,0.9987141290227706,0.9986178382465282
2000-03-22,0.997355317816154,0.9977791025439129,0.9968349752036457,0.9980862895414733,0.998963489376667,0.99813893036989,0.9982897687639383,0.9985780745708084,0.9984906383827868
2000-03-23,0.9975046079873865,0.997577714247454,0.9968349752036457,0.9982079172881728,0.9988470332394156,0.9982235635624988,0.998289768763938,0.9985514436581,0.998337525893237
2000-03-24,0.9973553178161542,0.997489230036092,0.9968349752036457,0.9982079172881729,0.998705212034446,0.9983745458251824,0.998289768763938,0.9987553110747186,0.9983741814776061
2000-03-27,0.997355317816154,0.9971956920443811,0.9969044846273464,0.9982079172881729,0.9988063535329138,0.9983745458251824,0.9983173922583802,0.9987553110747186,0.9984691479063967
2000-03-28,0.997083146068247,0.9972719587114184,0.9969044846273464,0.9983591335808587,0.9988862768541904,0.9983199685797963,0.998212055573255,0.9987553110747186,0.9983526917691452
2000-03-29,0.9970831460682468,0.9971713897603856,0.9969185580937822,0.9983591335808587,0.9988108726405266,0.998572524813879,0.9981255397265285,0.9987553110747186,0.9984158784384842
2000-03-30,0.9970831460682467,0.9969380052026797,0.9966636704321128,0.9981982622193842,0.998784864745022,0.9986505769859406,0.9982919788945315,0.9986316517092992,0.9985445521200604
2000-03-31,0.9971621227286626,0.9971713897603856,0.9968523607280636,0.9982399591802623,0.9987716290257518,0.9986505769859406,0.9983931203929992,0.9986453776648573,0.9986026981808198
2000-04-03,0.9974215151818726,0.9968617385356426,0.9969185580937822,0.9980887428875765,0.9990001457289654,0.9987571771407984,0.9984185337568481,0.9987690370302764,0.9985781273361214
2000-04-04,0.9973688763736597,0.9969380052026799,0.9969767041545415,,0.9990130736267717,0.9988145725733234,0.9981509530903773,0.9987690370302764,0.9985781273361214
2000-04-05,0.9974085872840665,0.996874091836016,0.9972071333374581,0.9979030145403882,0.998937669413108,0.9986893641761422,0.9981509530903773,0.9988803083825535,0.9987547569926559
2000-04-06,0.9971621227286626,0.996874091836016,0.9972071333374581,0.997830795013193,0.9988979585027012,0.9987571771407984,0.9982308764116536,0.9989066240995218,0.9987547569926559
