bucket,n,pe_min_mean,pe_min_std,pe_min_median,pe_min_min,pe_min_max,pe_pre_mean
5-15%,51,0.9565759950636682,0.023481844216088957,0.9642867595083853,0.8814604372746835,0.9883555490277903,0.9779332692633542
15-25%,17,0.9487761904002565,0.020156910818886646,0.9482639608721959,0.91808965318518,0.9824027624384357,0.9743721277878968
25-40%,16,0.9543461068967158,0.016925221638919585,0.949521423732715,0.9286788289975584,0.9866580593113871,0.9812504325942695
>40%,4,0.9463968270113228,0.016205338129514683,0.9461267044270596,0.932073671744015,0.961260227447157,0.9740647402846225
